5492|1 avenue
07e1|103 street
48ab|103 street
bed9|103 street
6d6a|104 street
a733|110 street
6683|111 street
3871|116 street
9cfd|116 street
e801|116 street
0d51|116 street - columbia university
0d51|116 street
0d51|columbia university
85fc|125 street
c451|125 street
caba|125 street
d1c3|125 street
13fe|135 street
43ba|135 street
2b44|137 street - city college
8fe0|138 street - grand concourse
65de|14 street
0161|14 street / 6 avenue
449e|145 street
577b|145 street
5fd0|145 street
64f8|149 street - grand concourse
abf9|15 street - prospect park
75b5|155 street
f4eb|155 street
7327|157 street
de32|161 street - yankee stadium
4657|163 street - amsterdam avenue
0deb|167 street
7751|167 street
e467|168 street - washington heights
c824|169 street
b922|170 street
f484|170 street
3b8a|174 street
3f99|174-175 sts
f73c|175 street
1068|176 street
6cec|18 avenue
81e2|18 avenue
f95c|18 avenue
1afa|18 street
698d|181 street
b62b|181 street
8fad|182-183 sts
0d0f|183 street
0d7d|190 street
5f93|191 street
2468|2 avenue
ac92|20 avenue
c643|20 avenue
a3c6|207 street
c185|21 street
7da0|21 street - queensbridge
a97d|215 street
69ad|219 street
7eab|225 street
1ccf|23rd street
1d54|23rd street
6766|23rd street
9b86|23rd street
a3a3|23rd street
c9e1|231 street
eae2|233 street
6974|238 street
5511|25 avenue
e61d|25 street
26dd|28 street
d1f4|28 street
ea7e|28 street
5d15|3 avenue
cdc0|3 avenue - 138 street
060a|3 avenue - 149 street
529d|30 avenue
abd8|33 street
6854|34 street - herald square
6854|herald square
6854|34th street
3927|34th street - penn station
76dc|34th street - penn station
3927|34th street
76dc|34th street
3927|penn station
76dc|penn station
a47d|36 avenue
38c3|36 street
7b17|36 street
82e4|39 avenue
a9a9|4 avenue / 9 street
6fd9|42 street - bryant pk
6fd9|bryant pk
6fd9|42 street
0602|42 street - port authority bus terminal
0602|42nd street
0602|port authority bus terminal
a081|45 street
1ea4|46 street
0cca|47-50 sts - rockefeller center
0cca|rockefeller center
2d15|49 street
e902|5th avenue 53 street
5034|5th avenue 59 street
0690|50 street
0e0a|50 street
530d|50 street
fe8e|51 street / lexington avenue 53 street
